# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.60741391   -0.00000003    0.61927223    0.00000002   11.44645611   -0.49999997    0.47099497    0.00000003
   -0.64481994    0.06090755    0.61927214    0.00000002   11.50004557   -0.49999990   -0.49999999   -0.04955276
   -0.64481993    0.16511671   -0.59165789    0.00000002   11.79391138    0.47770417   -0.49999998   -0.13433456
   -0.64481990    0.05876915    0.61927217    0.00000002   11.49646030   -0.49999992   -0.49999996   -0.04781302
    0.64481989    0.08762686    0.61927214    0.00000002   11.55467181   -0.49999990    0.49999995   -0.07129088
    0.64292450    0.00000232   -0.61927225    0.00000003   11.44732736    0.49999998    0.49853025   -0.00000188
   -0.57794840   -0.00000000   -0.61927227    0.00000003   11.44466819    0.50000000   -0.44814712    0.00000000
   -0.52408005   -0.00000000   -0.61927224    0.00000005   11.43997762    0.49999998   -0.40637705    0.00000000
   -0.40398159   -0.00000000   -0.61927221    0.00000012   11.43633757    0.49999995   -0.31325147    0.00000000
   -0.36305922   -0.00000000   -0.61927220    0.00000016   11.44157846    0.49999994   -0.28151984    0.00000000
   -0.33234879    0.00000000   -0.61927219    0.00000020   11.44841646    0.49999993   -0.25770666   -0.00000000
   -0.23979181    0.09266658   -0.61927219    0.00000040   11.56232035    0.49999994   -0.18593703   -0.07539106
   -0.21987205    0.06474285   -0.61927216    0.00000045   11.53022719    0.49999991   -0.17049104   -0.05267305
   -0.20533616    0.03251467   -0.61927215    0.00000050   11.50848865    0.49999990   -0.15921976   -0.02645307
    0.56679684   -0.00000002   -0.61927224    0.00000001   11.44379805    0.49999997    0.43950008    0.00000002
    0.00000000   -0.00000000    0.61927227    0.00000000   11.56503591   -0.50000000    0.00000000    0.00000000
    0.05373500   -0.00000000    0.61927227    0.00000001   11.55932018   -0.50000000    0.04166667    0.00000000
    0.10746999   -0.00000000    0.61927227    0.00000001   11.54332386   -0.50000000    0.08333333    0.00000000
    0.16120499   -0.00000000    0.61927227    0.00000002   11.52021451   -0.50000000    0.12500000    0.00000000
    0.21493998   -0.00000000    0.61927227    0.00000002   11.49434488   -0.50000000    0.16666667    0.00000000
    0.26867498   -0.00000000    0.61927227    0.00000003   11.47014536   -0.50000000    0.20833333    0.00000000
    0.34820279    0.00000000   -0.61927225    0.00000001   11.44457167    0.49999998    0.27000002   -0.00000000
    0.40193781    0.00000004   -0.61927224    0.00000002   11.43649886    0.49999998    0.31166670   -0.00000003
    0.45567280    0.00000000   -0.61927224    0.00000001   11.43529394    0.49999997    0.35333336   -0.00000000
    0.53520056   -0.00000000    0.61927227    0.00000002   11.44100123   -0.50000000    0.41500000    0.00000000
    0.58893555   -0.00000000    0.61927227    0.00000001   11.44543126   -0.50000000    0.45666667    0.00000000
    0.64267055   -0.00000000    0.61927227    0.00000001   11.44732665   -0.50000000    0.49833333    0.00000000
   -0.64481995   -0.07374873    0.61927227    0.00000000   11.52407075   -0.50000000   -0.50000000    0.06000000
   -0.59108495    0.00000000    0.61927227    0.00000003   11.44556809   -0.50000000   -0.45833333    0.00000000
   -0.64338712   -0.00000007    0.61927219    0.00000002   11.44732834   -0.49999993   -0.49888897    0.00000005
    0.64012319    0.00000021   -0.61927226    0.00000001   11.44731560    0.50000000    0.49635809   -0.00000017
    0.64237862    0.00000005    0.61927222    0.00000001   11.44732580   -0.49999996    0.49810697   -0.00000004
    0.63039075   -0.00000007    0.61927219    0.00000002   11.44719723   -0.49999994    0.48881145    0.00000006
   -0.62692109    0.00000009    0.61927224    0.00000001   11.44712633   -0.49999998   -0.48612104   -0.00000007
   -0.62734307    0.00000008   -0.61927225    0.00000002   11.44713571    0.49999998   -0.48644825   -0.00000006
    0.57642774    0.00000003   -0.61927223    0.00000002   11.44455482    0.49999997    0.44696798   -0.00000003
    0.63160176   -0.00000029   -0.61927226    0.00000002   11.44721852    0.49999999    0.48975048    0.00000023
   -0.63585948   -0.00000003    0.61927224    0.00000000   11.44727851   -0.49999997   -0.49305196    0.00000002
   -0.64465243   -0.00000009    0.61927221    0.00000001   11.44732963   -0.49999995   -0.49987011    0.00000007
   -0.00000001   -0.11407659    0.61927225    0.00000003   11.65831957   -0.49999998   -0.00000001    0.09280967
    0.14947404    0.00000028   -0.61927225    0.00000003   11.52565473    0.49999999    0.11590371   -0.00000022
    0.20186637   -0.01786518    0.61927227    0.00000003   11.50351134   -0.50000000    0.15652925    0.01453464
    0.22161928   -0.06762226   -0.61927226    0.00000002   11.53293655    0.49999999    0.17184586    0.05501567
    0.31580886    0.00000003   -0.61927225    0.00000001   11.45312982    0.49999998    0.24488143   -0.00000002
    0.38101153   -0.00000005   -0.61927226    0.00000003   11.43874695    0.49999999    0.29544024    0.00000004
